id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit
https://environment.data.gov.uk/water-quality/sampling-point/NW-88003817/sample/5377181/observation/0061,NW-88003817,TARNBROOK WYRE PTC ABBEYSTEAD RESERVOIR,356336,454400,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-01-20T10:16:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.15,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88003817/sample/5379117/observation/0061,NW-88003817,TARNBROOK WYRE PTC ABBEYSTEAD RESERVOIR,356336,454400,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-02-11T09:07:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,8.09,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88003817/sample/5380749/observation/0061,NW-88003817,TARNBROOK WYRE PTC ABBEYSTEAD RESERVOIR,356336,454400,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-03-06T09:17:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.88,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88003817/sample/5389763/observation/0061,NW-88003817,TARNBROOK WYRE PTC ABBEYSTEAD RESERVOIR,356336,454400,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-08-05T09:38:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,8.02,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88003817/sample/5393686/observation/0061,NW-88003817,TARNBROOK WYRE PTC ABBEYSTEAD RESERVOIR,356336,454400,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-10-06T10:50:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,6.71,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88003818/sample/5377182/observation/0061,NW-88003818,MARSHAW WYRE PTC ABBEYSTEAD RESERVOIR,356491,454207,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-01-20T10:21:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.62,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88003818/sample/5379433/observation/0061,NW-88003818,MARSHAW WYRE PTC ABBEYSTEAD RESERVOIR,356491,454207,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-02-17T09:20:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.95,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88003818/sample/5380750/observation/0061,NW-88003818,MARSHAW WYRE PTC ABBEYSTEAD RESERVOIR,356491,454207,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-03-06T09:25:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,8.11,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004023/sample/5382414/observation/0061,NW-88004023,RIVER LUNE AT FORGE BANK WEIRKEY POINT ON LUNE FROM 01/01/1981 IS 017287475,351291,464730,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-04-07T14:22:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,8.33,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004023/sample/5391642/observation/0061,NW-88004023,RIVER LUNE AT FORGE BANK WEIRKEY POINT ON LUNE FROM 01/01/1981 IS 017287475,351291,464730,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-08-28T11:43:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,9.21,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004023/sample/5392811/observation/0061,NW-88004023,RIVER LUNE AT FORGE BANK WEIRKEY POINT ON LUNE FROM 01/01/1981 IS 017287475,351291,464730,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-09-29T13:32:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,8.04,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004023/sample/5395188/observation/0061,NW-88004023,RIVER LUNE AT FORGE BANK WEIRKEY POINT ON LUNE FROM 01/01/1981 IS 017287475,351291,464730,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-10-28T10:36:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.85,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004023/sample/5395580/observation/0061,NW-88004023,RIVER LUNE AT FORGE BANK WEIRKEY POINT ON LUNE FROM 01/01/1981 IS 017287475,351291,464730,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-11-07T12:17:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.61,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004023/sample/5397387/observation/0061,NW-88004023,RIVER LUNE AT FORGE BANK WEIRKEY POINT ON LUNE FROM 01/01/1981 IS 017287475,351291,464730,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-12-05T12:52:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.82,PH UNITS
